City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain Inches(last 3hrs),Snow Inches(last 3hrs)
93,Repatriacion,PY,2019-11-09 23:31:39,-25.53,-55.95,78.53,76,58,4.63,broken clouds,0.0,0.0
94,Saint George,GR,2019-11-09 23:31:40,39.45,22.34,51.8,93,49,4.7,scattered clouds,0.0,0.0
95,Belyy Yar,RU,2019-11-09 23:31:40,53.6,91.39,15.8,78,75,4.47,broken clouds,0.0,0.0
96,Salalah,OM,2019-11-09 23:31:40,17.01,54.1,78.8,74,40,3.36,scattered clouds,0.0,0.0
97,Natchitoches,US,2019-11-09 23:31:40,31.76,-93.09,55.4,58,1,2.62,clear sky,0.0,0.0
98,Zatoka,PL,2019-11-09 23:31:40,50.04,20.52,46.99,93,75,2.24,light rain,0.0,0.0
99,Athens,GR,2019-11-09 23:28:18,37.98,23.73,69.01,93,40,16.6,scattered clouds,0.0,0.0
100,Moose Factory,CA,2019-11-09 23:31:41,51.26,-80.61,14.0,85,90,3.36,light snow,0.0,0.0
101,Plainview,US,2019-11-09 23:31:36,34.18,-101.71,69.8,24,1,8.05,clear sky,0.0,0.0
102,Gunjur,GM,2019-11-09 23:31:42,13.18,-16.76,77.0,78,17,6.93,few clouds,0.0,0.0
103,Darovskoy,RU,2019-11-09 23:31:42,58.77,47.96,26.17,63,100,6.96,overcast clouds,0.0,0.0
104,Sorong,ID,2019-11-09 23:31:42,-0.86,131.25,82.58,73,68,2.84,broken clouds,0.0,0.0
105,Pamplona,ES,2019-11-09 23:31:42,42.82,-1.64,55.0,87,75,6.93,light rain,0.0,0.0
106,Oksbol,DK,2019-11-09 23:31:43,55.63,8.29,43.0,100,90,4.7,fog,0.0,0.0
107,Campoverde,EC,2019-11-09 23:31:43,-0.91,-78.62,55.4,82,75,6.93,shower rain,0.0,0.0
108,Margate,AU,2019-11-09 23:31:43,-43.03,147.26,62.01,41,40,19.46,scattered clouds,0.0,0.0
109,Panji,CN,2019-11-09 23:31:44,32.78,116.82,58.87,51,50,12.55,scattered clouds,0.0,0.0
110,Jijiga,ET,2019-11-09 23:31:44,9.35,42.8,58.91,87,27,4.81,scattered clouds,0.0,0.0
111,Apollonia,GR,2019-11-09 23:31:44,40.64,23.49,61.0,93,45,6.93,scattered clouds,0.0,0.0
112,Kualakapuas,ID,2019-11-09 23:31:45,-3.01,114.39,83.14,68,61,1.7,broken clouds,0.0,0.0
113,Marzuq,YE,2019-11-09 23:31:46,14.4,46.47,63.81,61,0,2.75,clear sky,0.0,0.0
114,Freeport,BS,2019-11-09 23:28:48,26.54,-78.7,73.4,73,40,16.11,scattered clouds,0.0,0.0
115,Jamestown,AU,2019-11-09 23:31:46,-33.21,138.6,65.61,30,0,4.09,clear sky,0.0,0.0
116,Vila Velha,BR,2019-11-09 23:31:46,-3.71,-38.6,86.0,74,80,10.29,broken clouds,0.0,0.0
117,East London,ZA,2019-11-09 23:31:46,-33.02,27.91,65.01,83,100,13.65,light rain,0.31,0.0
118,Qaqortoq,GL,2019-11-09 23:31:47,60.72,-46.03,44.6,39,100,39.15,light snow,0.0,0.31
119,Komsomolets,RU,2019-11-09 23:31:47,52.77,41.29,38.43,83,45,7.96,scattered clouds,0.0,0.0
120,Grafton,AU,2019-11-09 23:31:47,-29.69,152.93,73.4,19,0,4.7,clear sky,0.0,0.0
121,Corpus Christi,US,2019-11-09 23:31:00,27.8,-97.4,66.2,48,1,5.82,clear sky,0.0,0.0
122,Yellowknife,CA,2019-11-09 23:27:19,62.45,-114.38,-2.21,70,75,6.93,broken clouds,0.0,0.0
123,Lebu,ET,2019-11-09 23:31:48,8.96,38.73,57.2,62,20,2.24,few clouds,0.0,0.0
124,Rio Gallegos,AR,2019-11-09 23:31:48,-51.62,-69.22,46.4,45,0,20.8,clear sky,0.0,0.0
125,Carnarvon,ZA,2019-11-09 23:31:48,-30.97,22.13,63.36,35,98,5.37,overcast clouds,0.0,0.0
126,Segovia,ES,2019-11-09 23:31:48,40.95,-4.12,52.0,61,20,14.99,few clouds,0.0,0.0
127,Adrar,DZ,2019-11-09 23:31:48,27.87,-0.29,57.2,28,0,11.41,clear sky,0.0,0.0
128,Khandbari,NP,2019-11-09 23:31:49,27.38,87.21,44.13,67,30,6.2,scattered clouds,0.0,0.0
129,Mahebourg,MU,2019-11-09 23:31:49,-20.41,57.7,70.0,94,20,5.82,few clouds,0.0,0.0
130,Yol,IN,2019-11-09 23:31:49,32.18,76.38,57.0,21,0,3.49,clear sky,0.0,0.0
131,Sturgis,CA,2019-11-09 23:31:49,51.94,-102.54,10.33,85,84,12.01,broken clouds,0.0,0.0
132,Saldanha,PT,2019-11-09 23:31:50,41.42,-6.55,41.76,85,100,10.2,overcast clouds,0.0,0.0
133,Trelew,AR,2019-11-09 23:28:08,-43.25,-65.31,46.47,79,54,23.4,broken clouds,0.0,0.0
134,Port Hardy,CA,2019-11-09 23:31:45,50.7,-127.42,50.0,93,90,3.36,light intensity shower rain,0.0,0.0
135,Hithadhoo,MV,2019-11-09 23:31:50,-0.6,73.08,80.96,78,57,8.5,light rain,2.56,0.0
136,Constitucion,MX,2019-11-09 23:31:51,23.99,-104.67,77.0,25,75,4.7,broken clouds,0.0,0.0
137,Abalak,NE,2019-11-09 23:31:51,15.46,6.28,82.15,14,5,9.35,clear sky,0.0,0.0
138,San Joaquin,PH,2019-11-09 23:31:51,10.59,122.14,81.34,79,18,5.55,light rain,0.19,0.0
139,Thompson,CA,2019-11-09 23:29:51,55.74,-97.86,1.4,77,40,4.7,scattered clouds,0.0,0.0
140,Cravo Norte,CO,2019-11-09 23:31:52,6.3,-70.2,79.75,82,42,4.12,scattered clouds,0.0,0.0
141,Kidal,ML,2019-11-09 23:31:52,18.44,1.41,77.0,26,48,17.07,scattered clouds,0.0,0.0
142,Tabuk,PH,2019-11-09 23:31:52,17.41,121.44,72.45,93,100,10.09,light rain,0.69,0.0
143,Jacareacanga,BR,2019-11-09 23:31:52,-6.22,-57.76,72.73,95,100,2.15,light rain,1.44,0.0
144,Livingston,US,2019-11-09 23:31:52,32.58,-88.19,53.6,71,1,1.43,clear sky,0.0,0.0
145,Peniche,PT,2019-11-09 23:31:53,39.36,-9.38,57.99,82,75,14.99,broken clouds,0.0,0.0
146,Mattru,SL,2019-11-09 23:31:53,7.62,-11.83,75.7,91,6,2.1,clear sky,0.0,0.0
147,Kastamonu,TR,2019-11-09 23:31:53,41.38,33.78,48.49,57,0,0.4,clear sky,0.0,0.0
148,Kitimat,CA,2019-11-09 23:30:08,54.02,-128.69,50.0,87,75,19.46,light rain,0.0,0.0
149,La Ronge,CA,2019-11-09 23:31:53,55.1,-105.3,12.2,56,75,13.87,light snow,0.0,0.0
150,Ambilobe,MG,2019-11-09 23:31:54,-13.19,49.05,76.12,75,55,8.97,broken clouds,0.0,0.0
151,Cam Ranh,VN,2019-11-09 23:31:54,11.92,109.15,73.4,100,90,8.05,light rain,0.0,0.0
152,Rockingham,GB,2019-11-09 23:30:30,52.52,-0.72,42.01,93,40,9.17,light rain,0.0,0.0
153,Gazojak,TM,2019-11-09 23:31:54,41.19,61.4,46.11,38,0,6.67,clear sky,0.0,0.0
154,Zhanaozen,KZ,2019-11-09 23:31:55,43.35,52.85,48.92,40,0,8.16,clear sky,0.0,0.0
155,Nyamuswa,TZ,2019-11-09 23:31:55,-1.9,34.02,66.34,73,7,2.64,clear sky,0.0,0.0
156,Iracoubo,GF,2019-11-09 23:31:55,5.48,-53.21,81.82,84,34,11.61,scattered clouds,0.0,0.0
157,Dingzhou,CN,2019-11-09 23:31:55,38.51,115.0,44.6,56,50,2.24,scattered clouds,0.0,0.0
158,Ornskoldsvik,SE,2019-11-09 23:31:55,63.29,18.72,23.0,78,100,11.41,overcast clouds,0.0,0.0
159,Elliot Lake,CA,2019-11-09 23:31:55,46.37,-82.65,35.6,93,90,12.75,light rain,0.0,0.0
160,Shenzhen,CN,2019-11-09 23:28:08,22.54,114.05,71.6,77,10,2.24,clear sky,0.0,0.0
161,Dwarka,IN,2019-11-09 23:31:56,28.58,77.04,64.4,59,0,5.82,smoke,0.0,0.0
162,Tabriz,IR,2019-11-09 23:31:57,38.08,46.29,41.0,38,0,4.7,clear sky,0.0,0.0
163,Lazaro Cardenas,MX,2019-11-09 23:31:57,28.39,-105.62,71.01,60,40,6.93,scattered clouds,0.0,0.0
164,Hamilton,CA,2019-11-09 23:29:50,43.26,-79.87,39.99,64,75,14.99,broken clouds,0.0,0.0
165,Abrau-Dyurso,RU,2019-11-09 23:31:57,44.7,37.6,55.4,76,20,8.95,few clouds,0.0,0.0
166,Casablanca,MA,2019-11-09 23:31:57,33.6,-7.62,60.01,81,39,4.7,scattered clouds,0.0,0.0
167,Liuzhou,CN,2019-11-09 23:31:58,24.32,109.41,60.82,67,38,3.96,scattered clouds,0.0,0.0
168,Saint-Joseph,FR,2019-11-09 23:31:58,43.56,6.97,50.0,87,9,4.7,clear sky,0.0,0.0
169,San Quintin,PH,2019-11-09 23:31:58,17.54,120.52,76.93,83,77,3.76,broken clouds,0.0,0.0
170,Lagoa,PT,2019-11-09 23:31:58,37.14,-8.45,60.8,77,75,9.17,broken clouds,0.0,0.0
171,Bagan,RU,2019-11-09 23:31:58,54.1,77.67,18.93,69,94,10.56,overcast clouds,0.0,0.0
172,Mar Del Plata,AR,2019-11-09 23:31:59,-46.43,-67.52,47.95,66,23,15.82,few clouds,0.0,0.0
173,Agutaya,PH,2019-11-09 23:31:59,11.15,120.94,82.4,73,54,7.34,moderate rain,3.13,0.0
174,Nisia Floresta,BR,2019-11-09 23:31:59,-6.09,-35.21,78.8,78,20,8.05,few clouds,0.0,0.0
175,Eureka,US,2019-11-09 23:31:59,40.8,-124.16,60.01,81,1,9.17,clear sky,0.0,0.0
176,Caxito,BR,2019-11-09 23:31:59,-22.65,-42.51,68.34,98,100,2.59,light rain,2.56,0.0
177,Vila Franca Do Campo,PT,2019-11-09 23:32:00,37.72,-25.43,60.8,82,20,5.82,few clouds,0.0,0.0
178,Blagoyevo,RU,2019-11-09 23:32:00,63.37,47.92,17.44,93,98,5.75,light snow,0.0,0.19
179,Tabou,CI,2019-11-09 23:32:00,4.42,-7.36,76.59,89,12,2.62,few clouds,0.0,0.0
180,Atambua,ID,2019-11-09 23:32:00,-9.11,124.89,82.87,62,86,2.86,overcast clouds,0.0,0.0
181,Babu,CN,2019-11-09 23:32:01,23.23,104.89,60.6,87,100,1.19,overcast clouds,0.0,0.0
182,Hay River,CA,2019-11-09 23:32:01,60.82,-115.79,1.4,70,75,9.17,broken clouds,0.0,0.0
183,Acari,BR,2019-11-09 23:32:01,-6.44,-36.64,70.79,81,90,28.7,overcast clouds,0.0,0.0
184,Houma,CN,2019-11-09 23:32:01,35.63,111.36,43.93,56,0,5.46,clear sky,0.0,0.0
185,Los Llanos De Aridane,ES,2019-11-09 23:32:01,28.66,-17.92,69.8,56,90,16.11,overcast clouds,0.0,0.0
186,Coquimbo,CL,2019-11-09 23:32:02,-29.95,-71.34,59.0,77,58,9.17,broken clouds,0.0,0.0
